@relation TestInstances

@attribute room {stube,kueche,nicola,tobias,joel,badgross,badklein,reduit,gang}
@attribute rss0 numeric
@attribute rss1 numeric
@attribute rss2 numeric
@attribute rss3 numeric
@attribute rss4 numeric
@attribute rss5 numeric
@attribute rss6 numeric
@attribute rss7 numeric

@data
gang,-60,-81,-81,-82,-82,-82,-82,-82
gang,-60,-77,-77,-82,-82,-82,-82,-82
gang,-59,-75,-75,-78,-78,-78,-78,-78
gang,-59,-72,-72,-81,-81,-81,-81,-81
gang,-59,-76,-76,-85,-85,-85,-85,-85
gang,-59,-72,-72,-84,-84,-84,-84,-84
gang,-59,-75,-75,-79,-79,-79,-79,-79
gang,-59,-74,-86,-86,-86,-86,-86,-86
gang,-59,-72,-86,-86,-86,-86,-86,-86
gang,-59,-71,-86,-86,-86,-86,-86,-86
gang,-61,-69,-87,-87,-87,-87,-87,-87
gang,-61,-75,-87,-87,-87,-87,-87,-87
gang,-61,-68,-87,-87,-87,-87,-87,-87
gang,-61,-66,-87,-87,-87,-87,-87,-87
gang,-61,-66,-87,-87,-87,-87,-87,-87
gang,-61,-70,-87,-87,-87,-87,-87,-87
gang,-61,-67,-67,-85,-85,-85,-85,-85
gang,-59,-64,-64,-79,-79,-79,-79,-79
gang,-59,-67,-67,-82,-82,-82,-82,-82
gang,-59,-67,-67,-82,-82,-82,-82,-82
gang,-59,-71,-71,-81,-81,-81,-81,-81
gang,-54,-80,-80,-88,-88,-88,-88,-88
gang,-54,-86,-86,-88,-88,-88,-88,-88
gang,-54,-77,-77,-88,-88,-88,-88,-88
gang,-54,-80,-80,-88,-88,-88,-88,-88
gang,-52,-80,-80,-88,-88,-88,-88,-88
gang,-52,-78,-78,-90,-90,-90,-90,-90
gang,-52,-78,-78,-90,-90,-90,-90,-90
gang,-52,-79,-79,-93,-93,-93,-93,-93
gang,-58,-73,-73,-93,-93,-93,-93,-93
gang,-58,-77,-77,-85,-85,-85,-85,-85
gang,-58,-77,-77,-77,-77,-77,-77,-77
gang,-67,-83,-86,-86,-86,-86,-86,-86
gang,-67,-82,-85,-85,-85,-85,-85,-85
gang,-67,-82,-85,-85,-85,-85,-85,-85
gang,-67,-82,-85,-85,-85,-85,-85,-85
gang,-68,-80,-85,-85,-85,-85,-85,-85
gang,-68,-78,-85,-85,-85,-85,-85,-85
gang,-68,-73,-85,-85,-85,-85,-85,-85
gang,-68,-78,-85,-85,-85,-85,-85,-85
gang,-68,-78,-85,-85,-85,-85,-85,-85
gang,-68,-81,-85,-85,-85,-85,-85,-85
gang,-68,-83,-85,-85,-85,-85,-85,-85
gang,-68,-80,-80,-80,-80,-80,-80,-80
gang,-68,-78,-80,-80,-80,-80,-80,-80
gang,-68,-74,-79,-79,-79,-79,-79,-79
gang,-68,-74,-79,-79,-79,-79,-79,-79
gang,-68,-74,-79,-79,-79,-79,-79,-79
gang,-68,-81,-79,-79,-79,-79,-79,-79
gang,-68,-77,-79,-79,-79,-79,-79,-79
gang,-66,-77,-85,-85,-85,-85,-85,-85
gang,-66,-82,-90,-90,-90,-90,-90,-90
gang,-66,-81,-90,-90,-90,-90,-90,-90
gang,-66,-79,-90,-90,-90,-90,-90,-90
gang,-67,-75,-90,-90,-90,-90,-90,-90
gang,-67,-79,-90,-90,-90,-90,-90,-90
gang,-67,-83,-90,-90,-90,-90,-90,-90
gang,-68,-78,-78,-84,-84,-84,-84,-84
gang,-68,-77,-77,-90,-90,-90,-90,-90
gang,-68,-77,-77,-90,-90,-90,-90,-90
gang,-68,-87,-87,-92,-92,-92,-92,-92
gang,-66,-82,-82,-92,-92,-92,-92,-92
gang,-66,-74,-74,-90,-90,-90,-90,-90
gang,-66,-75,-75,-90,-90,-90,-90,-90
gang,-66,-75,-75,-90,-90,-90,-90,-90
gang,-66,-76,-76,-90,-90,-90,-90,-90
gang,-66,-87,-87,-90,-90,-90,-90,-90
gang,-66,-72,-72,-92,-92,-92,-92,-92
gang,-66,-69,-69,-84,-84,-84,-84,-84
gang,-66,-72,-72,-85,-85,-85,-85,-85
gang,-66,-72,-93,-93,-93,-93,-93,-93
gang,-66,-78,-93,-93,-93,-93,-93,-93
gang,-66,-74,-93,-93,-93,-93,-93,-93
gang,-64,-72,-93,-93,-93,-93,-93,-93
gang,-64,-74,-93,-93,-93,-93,-93,-93
gang,-64,-71,-71,-85,-85,-85,-85,-85
gang,-64,-74,-74,-85,-85,-85,-85,-85
gang,-59,-69,-69,-89,-89,-89,-89,-89
gang,-59,-71,-71,-86,-86,-86,-86,-86
gang,-59,-75,-75,-79,-79,-79,-79,-79
gang,-59,-75,-75,-81,-81,-81,-81,-81
gang,-58,-75,-75,-88,-88,-88,-88,-88
gang,-58,-71,-71,-80,-80,-80,-80,-80
gang,-58,-71,-71,-85,-85,-85,-85,-85
gang,-58,-71,-71,-87,-87,-87,-87,-87
gang,-58,-72,-72,-90,-90,-90,-90,-90
gang,-58,-72,-72,-90,-90,-90,-90,-90
gang,-58,-75,-75,-87,-87,-87,-87,-87
gang,-58,-71,-71,-86,-86,-86,-86,-86
gang,-57,-74,-93,-93,-93,-93,-93,-93
gang,-57,-68,-93,-93,-93,-93,-93,-93
gang,-57,-67,-93,-93,-93,-93,-93,-93
gang,-57,-68,-93,-93,-93,-93,-93,-93
gang,-58,-69,-93,-93,-93,-93,-93,-93
gang,-58,-69,-93,-93,-93,-93,-93,-93
gang,-58,-72,-72,-82,-82,-82,-82,-82
gang,-58,-71,-92,-92,-92,-92,-92,-92
gang,-56,-72,-90,-90,-90,-90,-90,-90
gang,-56,-72,-90,-90,-90,-90,-90,-90
gang,-56,-69,-90,-90,-90,-90,-90,-90
gang,-56,-68,-90,-90,-90,-90,-90,-90
gang,-56,-70,-90,-90,-90,-90,-90,-90
gang,-56,-70,-90,-90,-90,-90,-90,-90
gang,-56,-68,-68,-83,-83,-83,-83,-83
gang,-56,-71,-71,-87,-87,-87,-87,-87
gang,-56,-71,-71,-85,-85,-85,-85,-85
gang,-56,-69,-91,-91,-91,-91,-91,-91
gang,-56,-63,-91,-91,-91,-91,-91,-91
gang,-56,-63,-91,-91,-91,-91,-91,-91
gang,-54,-65,-90,-90,-90,-90,-90,-90
gang,-54,-63,-87,-87,-87,-87,-87,-87
gang,-54,-67,-87,-87,-87,-87,-87,-87
